,Unnamed: 0,number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_f_0,params_f_1,params_f_10,params_f_11,params_f_12,params_f_13,params_f_14,params_f_15,params_f_16,params_f_17,params_f_18,params_f_19,params_f_2,params_f_20,params_f_21,params_f_22,params_f_23,params_f_24,params_f_25,params_f_26,params_f_27,params_f_28,params_f_29,params_f_3,params_f_4,params_f_5,params_f_6,params_f_7,params_f_8,params_f_9,params_zscore_range,system_attrs_nsga2:generation,state
0,2453,2453,-0.6039325842696629,-0.614406779661017,-0.010474195391354,13.0,2023-07-12 19:51:37.994763,2023-07-12 19:51:38.077233,0 days 00:00:00.082470,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,40,49,COMPLETE
7,2975,2975,-0.6014851485148515,-0.5805084745762712,-0.0209766739385802,2.0,2023-07-12 21:28:51.250204,2023-07-12 21:28:51.308528,0 days 00:00:00.058324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,91,59,COMPLETE
10,3667,3667,-0.601123595505618,-0.6271186440677966,-0.0259950485621786,14.0,2023-07-13 00:08:02.171569,2023-07-13 00:08:02.328602,0 days 00:00:00.157033,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,40,73,COMPLETE
17,3105,3105,-0.598314606741573,-0.576271186440678,-0.022043420300895,6.0,2023-07-12 21:56:07.110215,2023-07-12 21:56:07.192611,0 days 00:00:00.082396,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,40,62,COMPLETE
18,3657,3657,-0.5970695970695971,-0.6101694915254238,-0.0130998944558267,12.0,2023-07-13 00:05:29.117310,2023-07-13 00:05:29.218152,0 days 00:00:00.100842,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,64,73,COMPLETE
19,2637,2637,-0.5970619097586569,-0.635593220338983,-0.0385313105803261,14.0,2023-07-12 20:23:54.240142,2023-07-12 20:23:54.313097,0 days 00:00:00.072955,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,7,52,COMPLETE
21,3568,3568,-0.5969101123595506,-0.6228813559322034,-0.0259712435726527,11.0,2023-07-12 23:43:02.687202,2023-07-12 23:43:02.758171,0 days 00:00:00.070969,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,40,71,COMPLETE
22,2513,2513,-0.5965346534653465,-0.559322033898305,-0.0372126195670414,4.0,2023-07-12 20:01:51.019927,2023-07-12 20:01:51.085419,0 days 00:00:00.065492,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,91,50,COMPLETE
23,2801,2801,-0.5963718820861678,-0.6016949152542372,-0.0053230331680694,13.0,2023-07-12 20:54:25.033788,2023-07-12 20:54:25.114653,0 days 00:00:00.080865,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,83,56,COMPLETE
28,1881,1881,-0.5955056179775281,-0.6101694915254238,-0.0146638735478956,13.0,2023-07-12 18:26:56.554534,2023-07-12 18:26:56.606913,0 days 00:00:00.052379,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,40,37,COMPLETE
