,number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_f_0,params_f_1,params_f_10,params_f_11,params_f_12,params_f_13,params_f_14,params_f_15,params_f_16,params_f_17,params_f_18,params_f_19,params_f_2,params_f_20,params_f_21,params_f_22,params_f_23,params_f_24,params_f_25,params_f_26,params_f_27,params_f_28,params_f_29,params_f_3,params_f_4,params_f_5,params_f_6,params_f_7,params_f_8,params_f_9,params_zscore_range,system_attrs_nsga2:generation,state
5105,5105,-0.55,-0.5646551724137931,-0.014655172413793105,6.0,2023-07-07 19:50:03.973658,2023-07-07 19:50:04.029435,0 days 00:00:00.055777,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,82,101,COMPLETE
3297,3297,-0.55,-0.5301724137931034,-0.01982758620689662,9.0,2023-07-07 16:33:17.687928,2023-07-07 16:33:17.739755,0 days 00:00:00.051827,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,78,65,COMPLETE
3079,3079,-0.55,-0.5474137931034483,-0.002586206896551757,10.0,2023-07-07 16:15:00.488313,2023-07-07 16:15:00.541503,0 days 00:00:00.053190,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,82,61,COMPLETE
2513,2513,-0.55,-0.5043103448275862,-0.04568965517241386,6.0,2023-07-07 15:32:47.915715,2023-07-07 15:32:47.968538,0 days 00:00:00.052823,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,78,50,COMPLETE
2728,2728,-0.55,-0.46120689655172414,-0.0887931034482759,5.0,2023-07-07 15:47:49.695309,2023-07-07 15:47:49.746140,0 days 00:00:00.050831,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,78,54,COMPLETE
3445,3445,-0.55,-0.5560344827586207,-0.0060344827586206184,6.0,2023-07-07 16:46:26.187507,2023-07-07 16:46:26.239334,0 days 00:00:00.051827,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,82,68,COMPLETE
4137,4137,-0.55,-0.5301724137931034,-0.01982758620689662,10.0,2023-07-07 17:54:50.938970,2023-07-07 17:54:50.989800,0 days 00:00:00.050830,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,78,82,COMPLETE
3383,3383,-0.55,-0.5301724137931034,-0.01982758620689662,7.0,2023-07-07 16:40:51.346946,2023-07-07 16:40:51.397776,0 days 00:00:00.050830,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,82,67,COMPLETE
3996,3996,-0.55,-0.5603448275862069,-0.010344827586206806,8.0,2023-07-07 17:40:05.591842,2023-07-07 17:40:05.642671,0 days 00:00:00.050829,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,82,79,COMPLETE
4735,4735,-0.55,-0.46120689655172414,-0.0887931034482759,5.0,2023-07-07 19:03:04.879051,2023-07-07 19:03:04.930877,0 days 00:00:00.051826,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,78,94,COMPLETE
