,number,values_0,values_1,values_2,datetime_start,datetime_complete,duration,params_df_entry,params_t,params_t_exit,system_attrs_nsga2:generation,state
2638,2638,0.552664663566422,-0.4972375690607735,-1086.0,2023-06-07 15:11:34.319254,2023-06-07 15:11:34.748247,0 days 00:00:00.428993,78,4,25,52,COMPLETE
2014,2014,0.5545537862000349,-0.5112359550561798,-356.0,2023-06-07 14:57:54.301090,2023-06-07 14:57:54.839460,0 days 00:00:00.538370,82,2,5,40,COMPLETE
3040,3040,0.5566881121376727,-0.49576669802445905,-1063.0,2023-06-07 15:21:45.687477,2023-06-07 15:21:46.078599,0 days 00:00:00.391122,99,6,10,60,COMPLETE
637,637,0.5595370867158391,-0.4953959484346225,-1086.0,2023-06-07 14:36:34.917646,2023-06-07 14:36:35.244517,0 days 00:00:00.326871,78,4,30,12,COMPLETE
2794,2794,0.5695471305875718,-0.49514563106796117,-206.0,2023-06-07 15:15:19.043977,2023-06-07 15:15:19.474117,0 days 00:00:00.430140,69,1,3,55,COMPLETE
1776,1776,0.5758953972100139,-0.4837789661319073,-2805.0,2023-06-07 14:53:09.285070,2023-06-07 14:53:09.677847,0 days 00:00:00.392777,93,11,17,35,COMPLETE
3160,3160,0.5760520908191732,-0.4666666666666667,-360.0,2023-06-07 15:24:54.482277,2023-06-07 15:24:54.866987,0 days 00:00:00.384710,100,3,4,63,COMPLETE
3332,3332,0.5843765662761683,-0.4771089937253079,-4303.0,2023-06-07 15:29:49.391479,2023-06-07 15:29:49.785569,0 days 00:00:00.394090,95,16,27,66,COMPLETE
1106,1106,0.5872906061509741,-0.4902991107518189,-2474.0,2023-06-07 14:42:21.111763,2023-06-07 14:42:21.485160,0 days 00:00:00.373397,93,10,13,22,COMPLETE
3243,3243,0.5923348541750101,-0.4636752136752137,-5616.0,2023-06-07 15:27:15.721820,2023-06-07 15:27:16.141773,0 days 00:00:00.419953,91,18,6,64,COMPLETE
2092,2092,0.5945655453094073,-0.45665773011617516,-5595.0,2023-06-07 14:59:29.701956,2023-06-07 14:59:30.171504,0 days 00:00:00.469548,94,19,3,41,COMPLETE
2201,2201,0.5954802564208627,-0.5015974440894568,-313.0,2023-06-07 15:01:49.736364,2023-06-07 15:01:50.166215,0 days 00:00:00.429851,85,2,3,44,COMPLETE
2011,2011,0.5966419334470955,-0.4671955048752272,-6051.0,2023-06-07 14:57:50.686684,2023-06-07 14:57:51.088497,0 days 00:00:00.401813,90,19,8,40,COMPLETE
2447,2447,0.6102353603174075,-0.46325878594249204,-6260.0,2023-06-07 15:07:23.025326,2023-06-07 15:07:23.471186,0 days 00:00:00.445860,97,22,8,48,COMPLETE
71,71,0.6274878450156192,-0.535483870967742,-310.0,2023-06-07 14:32:16.040403,2023-06-07 14:32:16.367979,0 days 00:00:00.327576,87,2,15,1,COMPLETE
1460,1460,0.6285407247132828,-0.48514851485148514,-2424.0,2023-06-07 14:47:36.288338,2023-06-07 14:47:36.743995,0 days 00:00:00.455657,94,10,30,29,COMPLETE
1038,1038,0.6307368571537268,-0.5416666666666666,-240.0,2023-06-07 14:41:27.890012,2023-06-07 14:41:28.315134,0 days 00:00:00.425122,95,2,8,20,COMPLETE
1126,1126,0.6390516915060535,-0.4788449969921797,-4987.0,2023-06-07 14:42:36.769727,2023-06-07 14:42:37.137023,0 days 00:00:00.367296,87,15,17,22,COMPLETE
1069,1069,0.6390516915060535,-0.4788449969921797,-4987.0,2023-06-07 14:41:51.412481,2023-06-07 14:41:51.790042,0 days 00:00:00.377561,87,15,17,21,COMPLETE
2573,2573,0.6468360809749584,-0.4963655244029076,-963.0,2023-06-07 15:10:08.109557,2023-06-07 15:10:08.514561,0 days 00:00:00.405004,81,4,30,51,COMPLETE
36,36,0.6483641109559016,-0.4712902499437064,-4441.0,2023-06-07 14:32:03.235661,2023-06-07 14:32:03.574605,0 days 00:00:00.338944,91,15,8,0,COMPLETE
3068,3068,0.6649421115221908,-0.4971455756422455,-2102.0,2023-06-07 15:22:31.747440,2023-06-07 15:22:32.172712,0 days 00:00:00.425272,68,5,23,61,COMPLETE
395,395,0.6654459820685186,-0.48062855594689785,-3691.0,2023-06-07 14:34:29.653637,2023-06-07 14:34:30.044137,0 days 00:00:00.390500,91,13,12,7,COMPLETE
40,40,0.6656006637062363,-0.5122615803814714,-734.0,2023-06-07 14:32:04.683464,2023-06-07 14:32:05.016720,0 days 00:00:00.333256,90,4,12,0,COMPLETE
2903,2903,0.6729313286887906,-0.48119122257053293,-2552.0,2023-06-07 15:18:05.433178,2023-06-07 15:18:05.973348,0 days 00:00:00.540170,87,9,17,58,COMPLETE
432,432,0.6831150183686802,-0.5436507936507936,-252.0,2023-06-07 14:34:47.016263,2023-06-07 14:34:47.341416,0 days 00:00:00.325153,94,2,9,8,COMPLETE
353,353,0.702746436471359,-0.509009009009009,-1332.0,2023-06-07 14:34:10.671430,2023-06-07 14:34:10.991349,0 days 00:00:00.319919,72,4,26,7,COMPLETE
763,763,0.7073945699636119,-0.4891304347826087,-276.0,2023-06-07 14:37:59.969675,2023-06-07 14:38:00.391326,0 days 00:00:00.421651,90,2,3,15,COMPLETE
507,507,0.7073945699636119,-0.4891304347826087,-276.0,2023-06-07 14:35:26.540210,2023-06-07 14:35:26.891373,0 days 00:00:00.351163,90,2,3,10,COMPLETE
1504,1504,0.7073945699636119,-0.4891304347826087,-276.0,2023-06-07 14:48:19.713953,2023-06-07 14:48:20.108526,0 days 00:00:00.394573,90,2,3,30,COMPLETE
1079,1079,0.7073945699636119,-0.4891304347826087,-276.0,2023-06-07 14:41:58.953276,2023-06-07 14:41:59.322917,0 days 00:00:00.369641,90,2,3,21,COMPLETE
1622,1622,0.715971362241484,-0.48623853211009177,-1853.0,2023-06-07 14:50:29.502401,2023-06-07 14:50:29.893309,0 days 00:00:00.390908,79,6,23,32,COMPLETE
23,23,0.7179931992677075,-0.4792054624456859,-1611.0,2023-06-07 14:31:58.353494,2023-06-07 14:31:58.685963,0 days 00:00:00.332469,90,7,22,0,COMPLETE
921,921,0.7182566638080489,-0.42422611036339164,-7430.0,2023-06-07 14:39:54.940000,2023-06-07 14:39:55.358421,0 days 00:00:00.418421,17,1,1,18,COMPLETE
95,95,0.7212816064232167,-0.485973597359736,-2424.0,2023-06-07 14:32:25.017348,2023-06-07 14:32:25.341913,0 days 00:00:00.324565,94,10,14,1,COMPLETE
781,781,0.7225086837006749,-0.49261083743842365,-3248.0,2023-06-07 14:38:12.780856,2023-06-07 14:38:13.118256,0 days 00:00:00.337400,74,8,17,15,COMPLETE
2542,2542,0.7287811427153378,-0.4952076677316294,-313.0,2023-06-07 15:09:26.330078,2023-06-07 15:09:26.766021,0 days 00:00:00.435943,85,2,2,50,COMPLETE
1421,1421,0.7304844062552975,-0.5160599571734475,-467.0,2023-06-07 14:47:01.134745,2023-06-07 14:47:01.523789,0 days 00:00:00.389044,74,2,19,28,COMPLETE
2050,2050,0.7358851967208941,-0.4541305964090688,-117017.0,2023-06-07 14:58:39.181576,2023-06-07 14:58:39.737044,0 days 00:00:00.555468,1,1,3,41,COMPLETE
880,880,0.7575867511746649,-0.48845947396672035,-1863.0,2023-06-07 14:39:24.068189,2023-06-07 14:39:24.477322,0 days 00:00:00.409133,92,8,22,17,COMPLETE
1835,1835,0.7579780115689335,-0.547752808988764,-356.0,2023-06-07 14:54:14.452525,2023-06-07 14:54:14.830683,0 days 00:00:00.378158,82,2,8,36,COMPLETE
3398,3398,0.7598938243753004,-0.4773798303487276,-2122.0,2023-06-07 15:31:45.999270,2023-06-07 15:31:46.410891,0 days 00:00:00.411621,99,10,30,67,COMPLETE
3026,3026,0.7636480287831134,-0.483739837398374,-2952.0,2023-06-07 15:21:21.599272,2023-06-07 15:21:22.078357,0 days 00:00:00.479085,87,10,17,60,COMPLETE
3330,3330,0.7693323123693172,-0.49679673849737915,-1717.0,2023-06-07 15:29:45.693656,2023-06-07 15:29:46.171172,0 days 00:00:00.477516,81,6,26,66,COMPLETE
437,437,0.7732824625473934,-0.4981078524124882,-2114.0,2023-06-07 14:34:49.412219,2023-06-07 14:34:49.741432,0 days 00:00:00.329213,81,7,15,8,COMPLETE
537,537,0.7828729256522164,-0.4889112903225806,-1984.0,2023-06-07 14:35:42.000980,2023-06-07 14:35:42.371147,0 days 00:00:00.370167,77,6,20,10,COMPLETE
972,972,0.7887811552367934,-0.47198986058301645,-3945.0,2023-06-07 14:40:36.474458,2023-06-07 14:40:36.883245,0 days 00:00:00.408787,95,15,9,19,COMPLETE
