,Unnamed: 0,number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_f_0,params_f_1,params_f_10,params_f_11,params_f_12,params_f_13,params_f_14,params_f_15,params_f_16,params_f_17,params_f_18,params_f_19,params_f_2,params_f_20,params_f_21,params_f_22,params_f_23,params_f_24,params_f_25,params_f_26,params_f_27,params_f_28,params_f_29,params_f_3,params_f_4,params_f_5,params_f_6,params_f_7,params_f_8,params_f_9,params_zscore_range,system_attrs_nsga2:generation,state
0,3587,3587,-0.6063829787234043,-0.5720338983050848,-0.0343490804183195,7.0,2023-07-12 23:40:42.586989,2023-07-12 23:40:42.655465,0 days 00:00:00.068476,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,98,71,COMPLETE
1,2726,2726,-0.6037234042553191,-0.597457627118644,-0.006265777136675,6.0,2023-07-12 20:33:44.473202,2023-07-12 20:33:44.566266,0 days 00:00:00.093064,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,98,54,COMPLETE
8,3534,3534,-0.598404255319149,-0.5847457627118644,-0.0136584926072845,7.0,2023-07-12 23:27:29.768203,2023-07-12 23:27:29.848305,0 days 00:00:00.080102,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,98,70,COMPLETE
9,1299,1299,-0.5966386554621849,-0.5932203389830508,-0.003418316479134,7.0,2023-07-12 17:16:45.514755,2023-07-12 17:16:45.605277,0 days 00:00:00.090522,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,76,25,COMPLETE
13,3173,3173,-0.5957446808510638,-0.5847457627118644,-0.0109989181391993,8.0,2023-07-12 22:03:38.699097,2023-07-12 22:03:38.790075,0 days 00:00:00.090978,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,98,63,COMPLETE
24,1599,1599,-0.5945378151260504,-0.5889830508474576,-0.0055547642785928,8.0,2023-07-12 17:47:01.329119,2023-07-12 17:47:01.409424,0 days 00:00:00.080305,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,76,31,COMPLETE
26,3657,3657,-0.5938967136150235,-0.5508474576271186,-0.0430492559879048,3.0,2023-07-12 23:58:28.940884,2023-07-12 23:58:29.027427,0 days 00:00:00.086543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,86,73,COMPLETE
28,2324,2324,-0.5931372549019608,-0.6228813559322034,-0.0297441010302426,11.0,2023-07-12 19:24:18.013827,2023-07-12 19:24:18.067370,0 days 00:00:00.053543,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,90,46,COMPLETE
30,3532,3532,-0.5930851063829787,-0.597457627118644,-0.0043725207356652,6.0,2023-07-12 23:27:00.300879,2023-07-12 23:27:00.369267,0 days 00:00:00.068388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,98,70,COMPLETE
41,3492,3492,-0.592436974789916,-0.6016949152542372,-0.0092579404643212,6.0,2023-07-12 23:17:11.121000,2023-07-12 23:17:11.181535,0 days 00:00:00.060535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,76,69,COMPLETE
44,2520,2520,-0.5915492957746479,-0.635593220338983,-0.0440439245643351,6.0,2023-07-12 19:56:35.764760,2023-07-12 19:56:35.843593,0 days 00:00:00.078833,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,86,50,COMPLETE
46,2384,2384,-0.5904255319148937,-0.576271186440678,-0.0141543454742156,6.0,2023-07-12 19:33:57.730619,2023-07-12 19:33:57.791154,0 days 00:00:00.060535,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,98,47,COMPLETE
48,3251,3251,-0.5903361344537815,-0.614406779661017,-0.0240706452072354,4.0,2023-07-12 22:20:46.190111,2023-07-12 22:20:46.250836,0 days 00:00:00.060725,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,76,65,COMPLETE
