,Unnamed: 0,number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_f_0,params_f_1,params_f_10,params_f_11,params_f_12,params_f_13,params_f_14,params_f_15,params_f_16,params_f_17,params_f_18,params_f_19,params_f_2,params_f_20,params_f_21,params_f_22,params_f_23,params_f_24,params_f_25,params_f_26,params_f_27,params_f_28,params_f_29,params_f_3,params_f_4,params_f_5,params_f_6,params_f_7,params_f_8,params_f_9,params_zscore_range,system_attrs_nsga2:generation,state
0,3086,3086,-0.639871382636656,-0.6101694915254238,-0.0297018911112322,8.0,2023-07-12 21:56:55.081154,2023-07-12 21:56:55.162121,0 days 00:00:00.080967,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,98,61,COMPLETE
10,2812,2812,-0.6334405144694534,-0.6059322033898306,-0.0275083110796228,10.0,2023-07-12 21:01:20.085243,2023-07-12 21:01:20.197273,0 days 00:00:00.112030,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,98,56,COMPLETE
13,3388,3388,-0.6327944572748267,-0.6101694915254238,-0.0226249657494029,8.0,2023-07-12 23:04:18.129698,2023-07-12 23:04:18.208553,0 days 00:00:00.078855,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,72,67,COMPLETE
22,2245,2245,-0.6304849884526559,-0.6059322033898306,-0.0245527850628253,7.0,2023-07-12 19:22:42.201765,2023-07-12 19:22:42.274249,0 days 00:00:00.072484,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,72,44,COMPLETE
34,2357,2357,-0.628175519630485,-0.6483050847457628,-0.0201295651152777,14.0,2023-07-12 19:40:27.402007,2023-07-12 19:40:27.501201,0 days 00:00:00.099194,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,72,47,COMPLETE
44,2052,2052,-0.6270783847980997,-0.614406779661017,-0.0126716051370827,11.0,2023-07-12 18:54:09.034428,2023-07-12 18:54:09.125340,0 days 00:00:00.090912,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,74,41,COMPLETE
46,2880,2880,-0.6270096463022508,-0.6313559322033898,-0.004346285901139,11.0,2023-07-12 21:14:37.572584,2023-07-12 21:14:37.647110,0 days 00:00:00.074526,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,98,57,COMPLETE
50,3352,3352,-0.625866050808314,-0.6016949152542372,-0.0241711355540767,8.0,2023-07-12 22:55:41.358729,2023-07-12 22:55:41.418996,0 days 00:00:00.060267,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,72,67,COMPLETE
61,2572,2572,-0.6258205689277899,-0.6398305084745762,-0.0140099395467863,8.0,2023-07-12 20:16:51.961201,2023-07-12 20:16:52.062022,0 days 00:00:00.100821,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,68,51,COMPLETE
65,2157,2157,-0.6247030878859857,-0.6016949152542372,-0.0230081726317484,11.0,2023-07-12 19:09:26.552483,2023-07-12 19:09:26.623565,0 days 00:00:00.071082,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,74,43,COMPLETE
69,2025,2025,-0.6237942122186495,-0.6271186440677966,-0.0033244318491471,10.0,2023-07-12 18:50:21.133367,2023-07-12 18:50:21.209348,0 days 00:00:00.075981,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,98,40,COMPLETE
72,1151,1151,-0.6235565819861432,-0.6398305084745762,-0.016273926488433,8.0,2023-07-12 17:13:21.697544,2023-07-12 17:13:21.790309,0 days 00:00:00.092765,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,72,23,COMPLETE
97,1988,1988,-0.6223277909738717,-0.6440677966101694,-0.0217400056362977,13.0,2023-07-12 18:45:13.843274,2023-07-12 18:45:13.914009,0 days 00:00:00.070735,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,74,39,COMPLETE
100,441,441,-0.6214574898785425,-0.6228813559322034,-0.0014238660536608,10.0,2023-07-12 16:31:26.666591,2023-07-12 16:31:26.757007,0 days 00:00:00.090416,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,62,8,COMPLETE
103,2156,2156,-0.6212471131639723,-0.6059322033898306,-0.0153149097741417,8.0,2023-07-12 19:09:18.000560,2023-07-12 19:09:18.071152,0 days 00:00:00.070592,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,72,43,COMPLETE
132,2458,2458,-0.6205787781350482,-0.597457627118644,-0.0231211510164042,10.0,2023-07-12 19:57:03.498620,2023-07-12 19:57:03.561351,0 days 00:00:00.062731,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,98,49,COMPLETE
