,Unnamed: 0,number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_f_0,params_f_1,params_f_10,params_f_11,params_f_12,params_f_13,params_f_14,params_f_15,params_f_16,params_f_17,params_f_18,params_f_19,params_f_2,params_f_20,params_f_21,params_f_22,params_f_23,params_f_24,params_f_25,params_f_26,params_f_27,params_f_28,params_f_29,params_f_3,params_f_4,params_f_5,params_f_6,params_f_7,params_f_8,params_f_9,params_zscore_range,system_attrs_nsga2:generation,state
0,3580,3580,-0.6025459688826026,-0.6016949152542372,-0.0008510536283653,11.0,2023-07-12 23:45:01.727726,2023-07-12 23:45:01.788299,0 days 00:00:00.060573,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,43,71,COMPLETE
7,2925,2925,-0.5968882602545968,-0.5932203389830508,-0.003667921271546,11.0,2023-07-12 21:16:49.356755,2023-07-12 21:16:49.417320,0 days 00:00:00.060565,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,43,58,COMPLETE
11,2697,2697,-0.5964912280701754,-0.576271186440678,-0.0202200416294974,16.0,2023-07-12 20:32:48.156179,2023-07-12 20:32:48.209601,0 days 00:00:00.053422,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,88,53,COMPLETE
19,3304,3304,-0.5946601941747572,-0.6186440677966102,-0.0239838736218529,8.0,2023-07-12 22:38:04.838092,2023-07-12 22:38:04.888375,0 days 00:00:00.050283,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,99,66,COMPLETE
23,3525,3525,-0.5942982456140351,-0.5889830508474576,-0.0053151947665774,4.0,2023-07-12 23:31:13.718948,2023-07-12 23:31:13.788996,0 days 00:00:00.070048,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,88,70,COMPLETE
25,2435,2435,-0.594059405940594,-0.614406779661017,-0.0203473737204229,9.0,2023-07-12 19:46:15.081561,2023-07-12 19:46:15.172371,0 days 00:00:00.090810,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,43,48,COMPLETE
33,1649,1649,-0.5926449787835927,-0.5932203389830508,-0.0005753601994581,5.0,2023-07-12 17:55:36.328491,2023-07-12 17:55:36.379965,0 days 00:00:00.051474,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,43,32,COMPLETE
41,2731,2731,-0.5921052631578947,-0.5889830508474576,-0.003122212310437,6.0,2023-07-12 20:39:09.238800,2023-07-12 20:39:09.297918,0 days 00:00:00.059118,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,88,54,COMPLETE
44,1891,1891,-0.5916030534351145,-0.635593220338983,-0.0439901669038684,11.0,2023-07-12 18:25:12.850557,2023-07-12 18:25:12.929532,0 days 00:00:00.078975,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,28,37,COMPLETE
47,2924,2924,-0.5912305516265912,-0.6059322033898306,-0.0147016517632393,7.0,2023-07-12 21:16:37.389433,2023-07-12 21:16:37.482126,0 days 00:00:00.092693,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,43,58,COMPLETE
58,2758,2758,-0.5903307888040712,-0.6313559322033898,-0.0410251433993186,8.0,2023-07-12 20:44:11.570359,2023-07-12 20:44:11.621534,0 days 00:00:00.051175,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,28,55,COMPLETE
