,Unnamed: 0,number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_f_0,params_f_1,params_f_10,params_f_11,params_f_12,params_f_13,params_f_14,params_f_15,params_f_16,params_f_17,params_f_18,params_f_19,params_f_2,params_f_20,params_f_21,params_f_22,params_f_23,params_f_24,params_f_25,params_f_26,params_f_27,params_f_28,params_f_29,params_f_3,params_f_4,params_f_5,params_f_6,params_f_7,params_f_8,params_f_9,params_zscore_range,system_attrs_nsga2:generation,state
0,2763,2763,-0.619277108433735,-0.6059322033898306,-0.0133449050439043,8.0,2023-07-12 20:43:52.856014,2023-07-12 20:43:52.946791,0 days 00:00:00.090777,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,90,55,COMPLETE
2,2942,2942,-0.6168674698795181,-0.6016949152542372,-0.0151725546252808,9.0,2023-07-12 21:18:44.381767,2023-07-12 21:18:44.454562,0 days 00:00:00.072795,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,90,58,COMPLETE
4,3197,3197,-0.6120481927710844,-0.597457627118644,-0.0145905656524403,7.0,2023-07-12 22:12:06.590322,2023-07-12 22:12:06.679202,0 days 00:00:00.088880,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,90,63,COMPLETE
5,3508,3508,-0.6096385542168675,-0.5889830508474576,-0.0206555033694099,7.0,2023-07-12 23:24:14.566545,2023-07-12 23:24:14.648554,0 days 00:00:00.082009,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,90,69,COMPLETE
6,2309,2309,-0.6072289156626506,-0.6101694915254238,-0.0029405758627731,11.0,2023-07-12 19:25:09.321424,2023-07-12 19:25:09.382067,0 days 00:00:00.060643,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,90,46,COMPLETE
11,3368,3368,-0.60381861575179,-0.6101694915254238,-0.0063508757736338,8.0,2023-07-12 22:50:43.429025,2023-07-12 22:50:43.528033,0 days 00:00:00.099008,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,89,67,COMPLETE
13,2033,2033,-0.6024096385542169,-0.5889830508474576,-0.0134265877067593,11.0,2023-07-12 18:44:17.894757,2023-07-12 18:44:17.985594,0 days 00:00:00.090837,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,90,40,COMPLETE
15,3373,3373,-0.6,-0.614406779661017,-0.014406779661017,8.0,2023-07-12 22:51:55.318399,2023-07-12 22:51:55.410701,0 days 00:00:00.092302,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,90,67,COMPLETE
20,1562,1562,-0.5990453460620525,-0.559322033898305,-0.0397233121637474,7.0,2023-07-12 17:46:09.402052,2023-07-12 17:46:09.490463,0 days 00:00:00.088411,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,89,31,COMPLETE
23,1269,1269,-0.5975903614457831,-0.6016949152542372,-0.004104553808454,17.0,2023-07-12 17:17:15.622790,2023-07-12 17:17:15.683004,0 days 00:00:00.060214,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,90,25,COMPLETE
28,832,832,-0.5975855130784709,-0.6186440677966102,-0.0210585547181393,8.0,2023-07-12 16:44:24.195503,2023-07-12 16:44:24.245691,0 days 00:00:00.050188,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,73,16,COMPLETE
32,3099,3099,-0.5966587112171837,-0.6059322033898306,-0.0092734921726468,7.0,2023-07-12 21:51:10.802744,2023-07-12 21:51:10.886566,0 days 00:00:00.083822,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,89,61,COMPLETE
34,998,998,-0.5963060686015831,-0.5932203389830508,-0.0030857296185322,12.0,2023-07-12 16:55:19.269605,2023-07-12 16:55:19.340141,0 days 00:00:00.070536,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,99,19,COMPLETE
35,91,91,-0.5958904109589042,-0.6016949152542372,-0.005804504295333,19.0,2023-07-12 16:21:21.118458,2023-07-12 16:21:21.154294,0 days 00:00:00.035836,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,85,1,COMPLETE
37,393,393,-0.5955734406438632,-0.635593220338983,-0.0400197796951198,10.0,2023-07-12 16:24:33.121040,2023-07-12 16:24:33.189405,0 days 00:00:00.068365,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,73,7,COMPLETE
39,3430,3430,-0.5951807228915663,-0.576271186440678,-0.0189095364508883,5.0,2023-07-12 23:05:26.672340,2023-07-12 23:05:26.755240,0 days 00:00:00.082900,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,90,68,COMPLETE
