,Unnamed: 0,number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_f_0,params_f_1,params_f_10,params_f_11,params_f_12,params_f_13,params_f_14,params_f_15,params_f_16,params_f_17,params_f_18,params_f_19,params_f_2,params_f_20,params_f_21,params_f_22,params_f_23,params_f_24,params_f_25,params_f_26,params_f_27,params_f_28,params_f_29,params_f_3,params_f_4,params_f_5,params_f_6,params_f_7,params_f_8,params_f_9,params_zscore_range,system_attrs_nsga2:generation,state
9,225,225,-0.6135265700483091,-0.6271186440677966,-0.0135920740194874,14.0,2023-07-12 16:25:44.698789,2023-07-12 16:25:44.763276,0 days 00:00:00.064487,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,75,4,COMPLETE
22,2970,2970,-0.6111111111111112,-0.6228813559322034,-0.0117702448210922,10.0,2023-07-12 21:32:28.919681,2023-07-12 21:32:28.983176,0 days 00:00:00.063495,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,75,59,COMPLETE
39,1254,1254,-0.6086956521739131,-0.6271186440677966,-0.0184229918938835,10.0,2023-07-12 17:22:10.370141,2023-07-12 17:22:10.452425,0 days 00:00:00.082284,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,75,25,COMPLETE
47,1368,1368,-0.6071428571428571,-0.6228813559322034,-0.0157384987893463,11.0,2023-07-12 17:32:46.002999,2023-07-12 17:32:46.085254,0 days 00:00:00.082255,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,74,27,COMPLETE
51,2736,2736,-0.606280193236715,-0.6313559322033898,-0.0250757389666748,10.0,2023-07-12 20:46:33.028410,2023-07-12 20:46:33.099056,0 days 00:00:00.070646,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,75,54,COMPLETE
62,1211,1211,-0.6062378167641326,-0.6101694915254238,-0.0039316747612911,10.0,2023-07-12 17:18:20.531427,2023-07-12 17:18:20.608898,0 days 00:00:00.077471,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,59,24,COMPLETE
63,1601,1601,-0.60580204778157,-0.635593220338983,-0.029791172557413,13.0,2023-07-12 17:56:54.900832,2023-07-12 17:56:54.983192,0 days 00:00:00.082360,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,49,32,COMPLETE
79,1937,1937,-0.6038647342995169,-0.6313559322033898,-0.0274911979038728,7.0,2023-07-12 18:38:10.199355,2023-07-12 18:38:10.259636,0 days 00:00:00.060281,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,75,38,COMPLETE
95,1835,1835,-0.6023809523809524,-0.6186440677966102,-0.0162631154156578,7.0,2023-07-12 18:24:46.553621,2023-07-12 18:24:46.632250,0 days 00:00:00.078629,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,74,36,COMPLETE
106,1434,1434,-0.6014492753623188,-0.6228813559322034,-0.0214320805698845,10.0,2023-07-12 17:39:15.337998,2023-07-12 17:39:15.400369,0 days 00:00:00.062371,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,75,28,COMPLETE
