,Unnamed: 0,number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_f_0,params_f_1,params_f_10,params_f_11,params_f_12,params_f_13,params_f_14,params_f_15,params_f_16,params_f_17,params_f_18,params_f_19,params_f_2,params_f_20,params_f_21,params_f_22,params_f_23,params_f_24,params_f_25,params_f_26,params_f_27,params_f_28,params_f_29,params_f_3,params_f_4,params_f_5,params_f_6,params_f_7,params_f_8,params_f_9,params_zscore_range,system_attrs_nsga2:generation,state
1,2260,2260,-0.6136363636363636,-0.6016949152542372,-0.0119414483821264,10.0,2023-07-12 19:24:05.924488,2023-07-12 19:24:06.015025,0 days 00:00:00.090537,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,89,45,COMPLETE
11,1774,1774,-0.610738255033557,-0.6228813559322034,-0.0121431008986463,9.0,2023-07-12 18:16:22.541021,2023-07-12 18:16:22.609562,0 days 00:00:00.068541,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,91,35,COMPLETE
14,3176,3176,-0.6073825503355704,-0.5932203389830508,-0.0141622113525196,9.0,2023-07-12 22:14:58.249152,2023-07-12 22:14:58.360483,0 days 00:00:00.111331,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,91,63,COMPLETE
15,2674,2674,-0.6071428571428571,-0.6271186440677966,-0.0199757869249395,10.0,2023-07-12 20:34:12.204454,2023-07-12 20:34:12.294966,0 days 00:00:00.090512,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,89,53,COMPLETE
20,1537,1537,-0.6038961038961039,-0.6228813559322034,-0.0189852520360994,9.0,2023-07-12 17:49:12.075099,2023-07-12 17:49:12.135755,0 days 00:00:00.060656,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,89,30,COMPLETE
33,1655,1655,-0.6006493506493507,-0.6228813559322034,-0.0222320052828527,9.0,2023-07-12 18:02:15.643718,2023-07-12 18:02:15.746251,0 days 00:00:00.102533,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,89,33,COMPLETE
42,2820,2820,-0.6005830903790087,-0.6271186440677966,-0.0265355536887879,8.0,2023-07-12 21:01:44.008429,2023-07-12 21:01:44.072795,0 days 00:00:00.064366,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,83,56,COMPLETE
43,3015,3015,-0.597667638483965,-0.614406779661017,-0.0167391411770519,6.0,2023-07-12 21:40:45.586380,2023-07-12 21:40:45.669779,0 days 00:00:00.083399,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,83,60,COMPLETE
47,1479,1479,-0.5974025974025974,-0.6101694915254238,-0.0127668941228263,10.0,2023-07-12 17:43:11.326764,2023-07-12 17:43:11.412490,0 days 00:00:00.085726,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,89,29,COMPLETE
59,2287,2287,-0.5973154362416108,-0.5932203389830508,-0.0040950972585599,7.0,2023-07-12 19:28:19.764029,2023-07-12 19:28:19.824554,0 days 00:00:00.060525,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,91,45,COMPLETE
70,2771,2771,-0.5941558441558441,-0.5932203389830508,-0.0009355051727932,6.0,2023-07-12 20:52:15.569057,2023-07-12 20:52:15.680535,0 days 00:00:00.111478,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,89,55,COMPLETE
74,1382,1382,-0.5939597315436241,-0.597457627118644,-0.0034978955750198,8.0,2023-07-12 17:33:32.855741,2023-07-12 17:33:32.907896,0 days 00:00:00.052155,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,91,27,COMPLETE
83,2618,2618,-0.5909090909090909,-0.6101694915254238,-0.0192604006163328,9.0,2023-07-12 20:23:59.582538,2023-07-12 20:23:59.653208,0 days 00:00:00.070670,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,89,52,COMPLETE
97,1397,1397,-0.5906040268456376,-0.5805084745762712,-0.0100955522693664,6.0,2023-07-12 17:35:00.645649,2023-07-12 17:35:00.706389,0 days 00:00:00.060740,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,91,27,COMPLETE
